amount,transaction_hour,merchant_category,foreign_transaction,location_mismatch,device_trust_score,velocity_last_24h,cardholder_age
123.27,16,Food,0,0,71,4,23
275.34,20,Clothing,0,0,84,3,39
18.33,15,Grocery,0,0,70,2,58
21.5,21,Grocery,0,0,74,2,21
33.24,2,Grocery,0,0,89,2,37
70.13,17,Electronics,1,0,46,3,51
38.48,21,Food,0,0,36,4,58
570.49,14,Electronics,0,0,62,4,56
210.54,10,Food,0,0,68,1,54
104.87,23,Clothing,0,0,72,1,57
78.51,8,Electronics,0,0,26,1,18
36.66,13,Travel,0,1,28,1,40
296.52,0,Electronics,0,0,99,3,18
130.22,0,Grocery,0,0,65,0,26
4.49,4,Food,0,0,54,0,30
3.29,23,Electronics,0,0,48,2,29
70.6,22,Food,0,0,46,2,43
59.11,19,Grocery,0,0,45,1,43
517.88,23,Travel,0,0,80,6,30
41.0,2,Food,0,0,85,3,57
8.37,16,Travel,0,0,98,2,39
95.86,21,Travel,0,0,88,2,62
542.04,8,Clothing,0,0,81,0,25
24.55,21,Clothing,1,0,91,3,56
142.31,4,Clothing,1,0,65,2,41
48.81,16,Travel,0,0,53,4,46
340.82,9,Travel,0,0,76,2,48
10.36,11,Travel,0,0,67,2,54
31.95,16,Electronics,1,0,42,2,64
136.41,11,Electronics,0,0,40,3,57
13.24,22,Electronics,0,0,64,4,62
28.55,14,Clothing,0,0,96,2,32
0.24,13,Clothing,0,0,30,3,53
251.51,22,Grocery,0,0,56,2,41
20.92,17,Food,0,0,30,2,62
199.97,21,Food,0,1,79,3,63
172.1,13,Electronics,0,0,89,2,49
25.28,1,Electronics,0,0,92,2,49
202.91,1,Electronics,0,0,46,0,68
285.35,11,Food,0,0,29,2,28
357.37,13,Clothing,1,0,68,4,49
136.83,13,Electronics,0,0,30,3,20
18.44,8,Clothing,0,0,80,4,53
205.23,2,Food,0,0,40,4,64
428.43,0,Travel,0,1,66,1,25
723.9,8,Food,0,0,93,2,42
32.9,17,Electronics,0,0,57,2,46
504.92,19,Electronics,0,0,56,1,59
529.59,4,Clothing,0,0,53,1,24
306.46,6,Grocery,0,0,46,1,31
121.07,5,Grocery,0,0,37,1,68
19.33,10,Clothing,0,0,59,2,68
29.36,19,Clothing,0,0,26,3,44
231.35,23,Electronics,0,0,62,2,67
607.77,21,Travel,0,0,86,1,67
185.55,12,Electronics,0,0,51,0,27
36.88,19,Electronics,0,0,44,1,46
218.3,0,Electronics,0,0,66,1,47
156.49,18,Travel,0,0,36,3,68
858.88,13,Food,0,0,82,3,49
105.93,2,Food,0,0,73,2,56
209.89,11,Food,0,0,25,1,53
360.84,15,Food,0,0,42,2,29
118.03,4,Food,0,0,96,2,57
29.55,14,Electronics,1,0,81,2,40
324.59,19,Clothing,0,0,39,4,44
84.47,6,Grocery,1,0,48,1,46
95.21,13,Food,0,0,82,3,39
156.76,10,Grocery,1,0,92,1,31
321.5,4,Grocery,0,0,85,1,44
24.05,13,Clothing,0,0,31,1,23
111.58,8,Travel,0,0,60,3,26
285.09,6,Travel,0,0,35,3,58
39.42,6,Electronics,1,0,68,2,42
105.31,11,Grocery,1,0,37,2,19
237.21,13,Travel,0,0,53,1,67
41.22,10,Electronics,0,0,91,3,69
3.25,18,Food,0,0,70,2,67
100.08,10,Clothing,0,0,92,2,19
434.98,19,Food,1,0,61,3,29
643.94,1,Grocery,0,0,74,1,64
103.4,13,Food,0,0,98,1,69
99.75,21,Travel,0,0,27,0,30
92.4,5,Electronics,0,0,99,3,59
362.59,11,Grocery,0,0,37,1,30
135.73,18,Grocery,0,0,25,3,42
227.6,12,Electronics,0,0,31,0,34
61.32,14,Electronics,0,0,81,0,21
195.53,1,Grocery,0,0,39,3,46
275.4,5,Food,0,0,26,2,37
1227.01,9,Clothing,0,0,52,3,29
32.54,9,Electronics,0,0,72,3,46
35.36,11,Grocery,0,0,95,4,65
42.55,0,Food,0,0,27,5,41
188.05,9,Food,0,1,64,2,50
372.71,13,Clothing,0,0,26,1,20
57.0,5,Clothing,0,0,75,3,57
48.13,12,Clothing,0,0,97,2,31
56.89,7,Clothing,0,0,38,4,53
80.12,22,Travel,0,0,34,1,43
7.15,23,Electronics,0,0,59,1,47
59.13,23,Travel,0,0,64,3,38
201.44,20,Grocery,1,0,37,4,22
39.17,20,Travel,0,0,56,2,44
146.83,2,Food,0,1,94,4,48
120.8,20,Clothing,0,0,45,2,29
132.96,17,Clothing,0,1,73,4,42
437.04,4,Electronics,0,1,64,2,68
363.18,2,Travel,0,0,90,1,41
175.66,2,Travel,0,1,49,2,46
27.6,20,Grocery,0,0,53,2,56
113.51,1,Clothing,0,0,51,1,28
14.46,8,Food,0,0,68,0,22
53.07,20,Clothing,0,1,49,3,58
66.74,7,Food,0,1,67,5,40
28.68,0,Travel,0,0,55,0,68
232.68,18,Travel,1,0,29,1,58
57.26,11,Travel,0,0,88,2,22
120.37,8,Clothing,0,0,45,2,23
39.48,12,Food,0,0,81,3,56
187.16,3,Grocery,0,1,70,4,65
102.58,10,Electronics,0,1,37,4,54
275.43,11,Food,0,0,85,3,21
66.6,16,Clothing,0,0,32,4,55
9.61,4,Grocery,0,0,94,2,46
131.77,5,Electronics,0,0,92,2,23
41.14,17,Travel,0,0,65,0,35
87.04,13,Travel,0,1,74,3,22
275.65,12,Clothing,0,1,84,0,38
305.49,21,Electronics,0,0,75,2,32
22.35,10,Travel,0,0,67,1,23
120.92,7,Food,0,0,94,2,23
334.02,14,Travel,0,0,92,3,68
121.91,19,Food,0,0,35,0,39
410.04,5,Clothing,0,0,70,3,25
131.23,13,Electronics,0,0,69,1,62
299.18,14,Clothing,0,0,60,3,43
303.13,3,Electronics,0,0,61,1,20
78.24,4,Food,0,0,81,1,33
36.12,8,Electronics,1,1,51,1,20
184.4,6,Electronics,0,0,26,2,35
214.77,11,Electronics,0,0,73,1,18
247.2,8,Clothing,0,0,89,3,34
73.66,7,Clothing,0,0,74,3,38
39.37,9,Grocery,0,0,57,0,31
151.7,20,Travel,0,0,99,5,68
16.54,7,Grocery,1,1,48,1,43
425.31,13,Clothing,1,0,26,3,41
104.21,6,Travel,0,1,43,2,34
55.48,3,Travel,1,1,40,2,55
99.89,22,Electronics,0,0,56,1,49
41.74,16,Food,0,0,95,3,47
137.95,14,Clothing,0,0,83,2,31
44.43,7,Grocery,0,0,25,1,67
147.05,15,Clothing,1,0,30,2,27
82.18,4,Grocery,0,1,61,2,18
346.77,8,Food,0,1,59,2,26
195.71,15,Electronics,0,0,53,0,53
25.86,6,Grocery,0,0,41,4,61
220.49,19,Electronics,0,1,91,2,56
137.18,0,Food,0,1,29,2,52
225.52,11,Travel,0,0,25,2,31
35.1,10,Food,0,0,49,3,48
17.27,1,Clothing,0,0,50,5,56
624.57,8,Clothing,0,0,93,1,20
17.23,10,Travel,0,0,99,1,48
541.05,15,Electronics,0,1,69,2,66
52.66,9,Food,0,0,93,2,67
251.27,20,Electronics,0,1,99,3,47
22.22,3,Grocery,0,0,28,4,45
624.21,21,Grocery,0,1,26,1,41
155.95,2,Electronics,0,0,94,2,42
183.38,6,Clothing,0,0,28,1,65
149.31,5,Clothing,0,0,28,4,51
369.4,15,Food,0,0,93,3,32
556.87,0,Electronics,0,0,81,1,49
1.17,19,Travel,0,0,47,2,60
32.18,17,Grocery,0,0,54,5,48
499.01,9,Food,0,0,49,2,41
266.23,4,Clothing,0,0,69,1,26
132.66,23,Clothing,0,0,96,1,33
42.49,5,Electronics,0,0,31,1,33
26.42,10,Food,0,0,68,3,31
251.27,8,Clothing,0,0,40,1,34
103.6,15,Travel,0,0,54,2,54
380.46,6,Travel,0,0,82,1,45
45.1,20,Clothing,0,0,86,3,40
143.39,11,Food,0,0,83,4,54
701.79,2,Travel,1,1,94,1,20
49.75,11,Travel,0,0,79,2,34
220.39,23,Food,0,0,50,2,41
44.9,9,Electronics,0,0,67,1,44
341.43,14,Electronics,1,0,71,4,18
35.54,5,Clothing,1,0,66,2,25
21.43,10,Clothing,0,0,98,3,44
239.5,20,Clothing,0,0,92,0,62
48.23,21,Electronics,0,0,96,0,29
791.2,6,Travel,0,1,48,4,25
33.35,15,Travel,0,0,88,2,50
241.0,5,Grocery,0,0,64,1,51
85.24,17,Grocery,0,0,72,2,55
76.81,2,Electronics,0,0,32,2,27
42.61,17,Electronics,0,0,38,3,19
269.79,17,Travel,0,1,52,1,33
194.35,8,Clothing,0,0,42,2,57
132.47,21,Travel,0,0,88,2,19
325.55,22,Grocery,0,0,57,2,23
95.78,21,Food,0,0,52,1,49
31.01,21,Electronics,0,0,92,4,41
463.23,1,Travel,0,0,63,1,52
289.62,15,Travel,0,1,46,1,44
0.01,3,Clothing,0,0,78,1,34
339.34,10,Travel,0,0,70,3,30
73.18,13,Electronics,0,0,56,2,47
175.95,17,Food,0,0,52,4,27
642.2,6,Electronics,0,0,78,1,52
50.97,15,Food,0,0,89,0,63
13.17,4,Grocery,0,0,61,2,29
305.66,17,Grocery,0,0,68,3,23
305.35,11,Electronics,0,0,58,3,50
244.94,2,Travel,0,0,27,1,32
303.22,6,Travel,0,0,73,1,69
35.42,12,Electronics,0,0,98,1,54
5.75,1,Travel,0,0,91,1,50
91.11,10,Travel,0,0,64,1,64
361.87,12,Clothing,0,0,62,2,37
42.88,2,Electronics,1,0,45,3,58
37.71,20,Electronics,0,0,43,0,18
20.1,15,Grocery,0,0,79,0,69
868.26,8,Electronics,0,0,99,3,69
24.09,7,Electronics,0,0,52,3,57
33.7,20,Clothing,0,0,28,1,43
19.34,0,Travel,0,0,26,2,40
43.11,5,Electronics,0,0,30,2,21
181.49,20,Clothing,0,0,41,4,20
88.6,19,Electronics,0,0,34,1,25
16.82,19,Travel,0,0,32,1,53
164.65,18,Electronics,0,0,33,2,58
56.79,2,Clothing,0,0,42,0,30
1.04,17,Grocery,0,0,53,2,38
15.67,0,Grocery,0,0,93,5,39
129.17,8,Food,0,0,51,1,23
14.4,9,Electronics,0,0,58,2,22
9.35,21,Electronics,0,0,54,5,24
257.47,14,Grocery,0,0,69,2,64
176.02,5,Travel,0,0,60,2,37
253.27,15,Grocery,0,1,99,1,56
100.97,0,Travel,1,0,43,0,49
1.99,17,Electronics,0,0,81,0,23
215.2,16,Clothing,0,0,73,3,40
0.91,14,Grocery,0,0,84,3,52
495.26,9,Travel,0,0,59,2,23
295.83,7,Grocery,0,0,46,2,26
185.62,16,Grocery,0,1,63,1,65
23.64,11,Food,0,0,97,1,57
69.56,4,Travel,0,0,92,2,44
6.19,9,Travel,0,0,91,1,27
260.19,11,Clothing,0,0,36,4,31
176.95,10,Travel,1,0,85,2,53
10.1,10,Electronics,0,0,47,1,23
96.0,15,Food,1,0,34,2,21
37.24,19,Clothing,0,0,43,2,28
159.43,6,Grocery,0,0,35,6,29
69.59,3,Electronics,0,0,36,1,50
101.97,20,Clothing,0,0,55,3,18
140.47,3,Travel,0,0,87,5,22
127.53,17,Food,0,0,37,4,57
141.67,17,Electronics,0,0,38,2,63
78.49,0,Food,0,0,74,6,32
155.86,10,Food,0,0,96,1,60
91.14,3,Clothing,0,0,64,2,66
182.6,14,Food,0,0,31,3,34
41.27,16,Electronics,0,0,30,2,52
872.17,3,Travel,1,0,69,1,18
82.68,3,Food,0,0,70,0,63
226.03,0,Electronics,0,0,48,1,60
44.44,6,Food,0,0,44,5,45
85.16,18,Food,0,0,60,2,60
77.23,6,Electronics,0,0,73,2,39
101.32,8,Clothing,0,0,46,0,33
158.59,0,Clothing,0,0,73,4,24
220.64,7,Electronics,0,0,39,2,53
157.46,14,Food,0,0,47,3,20
324.27,8,Electronics,0,0,55,5,49
562.16,23,Travel,0,0,98,2,59
275.18,2,Grocery,0,0,59,3,59
25.69,7,Electronics,0,0,57,4,22
33.13,17,Grocery,0,0,81,1,56
58.35,0,Travel,0,1,29,4,49
35.16,19,Food,0,0,31,3,65
71.92,22,Electronics,0,0,26,3,21
640.62,18,Grocery,0,0,64,1,65
198.78,6,Clothing,0,0,42,2,56
7.7,4,Travel,0,0,75,0,54
219.77,14,Food,0,0,86,1,33
113.83,22,Food,0,0,48,3,29
119.84,6,Electronics,0,0,51,4,68
118.71,11,Clothing,0,0,89,2,62
232.85,14,Grocery,0,0,27,2,29
250.85,2,Food,0,0,30,1,50
274.01,19,Travel,0,1,42,3,37
82.51,20,Travel,0,0,78,4,65
200.19,7,Grocery,0,0,73,0,55
175.96,2,Grocery,0,0,78,0,34
515.37,21,Grocery,0,0,60,2,42
298.02,18,Clothing,0,0,61,1,36
493.1,12,Electronics,1,0,64,0,47
350.02,21,Food,0,0,35,4,56
84.21,13,Electronics,0,0,90,1,56
27.1,13,Travel,0,0,80,3,27
265.3,12,Travel,0,1,55,4,65
97.42,8,Travel,0,0,35,1,47
107.79,3,Electronics,0,0,38,5,18
135.05,21,Travel,0,0,92,1,50
121.08,18,Food,0,0,58,1,27
258.62,14,Grocery,0,0,27,2,31
495.15,6,Food,0,0,96,2,32
175.87,3,Grocery,0,0,74,3,50
335.52,11,Grocery,0,0,33,1,18
31.92,10,Clothing,0,0,38,1,22
671.5,22,Travel,0,0,59,1,56
24.41,12,Food,0,0,74,3,57
150.83,2,Travel,0,0,85,2,33
31.45,13,Travel,0,0,80,4,43
74.07,12,Travel,0,0,55,1,67
17.2,21,Clothing,0,0,27,1,27
91.31,0,Grocery,0,1,33,3,33
158.66,5,Electronics,0,1,97,1,51
336.65,11,Food,0,0,33,2,51
14.73,17,Electronics,0,0,85,2,37
38.17,11,Grocery,0,0,42,1,69
106.56,2,Food,0,0,72,2,18
326.37,14,Clothing,0,0,43,4,23
90.12,9,Travel,0,0,45,3,41
15.35,7,Travel,0,1,25,2,37
86.03,8,Clothing,0,0,91,3,64
87.87,17,Food,0,0,40,1,56
544.51,6,Electronics,0,0,53,3,19
240.32,11,Clothing,0,0,41,1,52
254.45,5,Travel,0,0,93,2,42
273.06,1,Grocery,0,0,83,2,38
4.37,19,Grocery,0,0,83,4,49
217.37,20,Travel,1,1,30,2,55
195.23,10,Clothing,0,0,81,0,28
191.03,9,Clothing,0,1,57,3,37
58.32,1,Grocery,0,1,66,3,22
28.1,3,Food,0,0,28,2,52
269.94,18,Clothing,0,0,97,2,36
9.79,13,Clothing,0,0,61,2,32
76.21,6,Grocery,0,0,41,1,25
465.39,0,Food,0,0,64,0,29
48.47,4,Food,0,0,58,4,55
55.76,4,Electronics,1,0,76,1,51
56.44,9,Clothing,0,0,97,3,42
8.78,9,Clothing,0,0,46,1,33
24.49,17,Grocery,1,0,96,5,53
193.61,17,Travel,1,0,77,2,20
51.37,6,Food,0,0,49,0,27
487.66,7,Electronics,0,0,89,3,58
152.71,0,Travel,0,0,94,4,40
42.59,2,Food,0,1,46,2,25
169.59,17,Travel,0,1,33,1,43
132.63,0,Food,1,0,91,1,43
316.41,4,Food,0,1,81,3,29
32.33,23,Travel,0,0,48,3,42
175.83,18,Electronics,0,0,79,2,20
79.72,0,Food,0,0,38,0,44
103.15,20,Grocery,1,0,68,5,49
303.67,16,Grocery,0,0,45,2,33
518.16,20,Electronics,0,0,30,2,19
68.69,8,Electronics,0,0,28,0,38
31.46,18,Electronics,1,0,84,2,21
117.9,13,Clothing,0,0,74,2,61
364.49,13,Food,0,0,93,2,29
403.93,12,Clothing,0,0,45,1,18
116.04,17,Electronics,0,0,62,4,31
444.6,11,Clothing,0,0,50,2,67
119.03,12,Electronics,0,0,92,3,56
436.61,20,Grocery,0,0,44,1,59
78.77,13,Grocery,0,0,33,1,19
23.68,21,Electronics,0,0,41,1,48
1209.52,3,Clothing,0,0,68,3,51
230.6,7,Travel,1,0,88,2,42
10.58,12,Electronics,0,0,35,1,30
226.15,21,Electronics,1,0,34,0,43
138.38,22,Grocery,0,0,94,2,23
63.0,15,Clothing,0,1,64,2,31
211.78,17,Travel,0,0,47,2,41
97.54,6,Electronics,0,0,47,1,51
94.87,12,Travel,0,0,71,2,61
204.88,12,Electronics,0,0,89,1,19
482.54,21,Food,0,0,56,3,56
135.86,0,Food,0,1,81,3,24
43.47,19,Food,0,0,80,0,62
25.14,23,Food,0,0,38,2,24
305.81,2,Electronics,0,0,69,0,19
44.17,16,Clothing,0,0,78,3,49
7.21,22,Electronics,0,0,79,1,61
24.47,17,Travel,0,0,56,2,56
477.14,21,Travel,0,0,70,2,25
111.1,7,Travel,0,1,46,2,67
187.85,22,Travel,0,0,28,2,45
48.82,9,Grocery,0,0,96,3,35
348.45,8,Travel,0,0,75,1,35
24.23,7,Clothing,0,0,66,1,30
163.64,12,Clothing,1,0,90,3,21
289.75,21,Grocery,0,0,41,2,22
36.0,8,Food,0,0,81,1,29
129.83,18,Electronics,1,0,74,2,57
14.97,19,Clothing,0,0,61,1,46
56.6,13,Food,0,0,45,2,28
112.79,7,Clothing,0,0,97,1,39
240.09,7,Electronics,0,0,35,2,65
251.32,17,Grocery,0,0,48,1,38
105.11,23,Food,1,1,84,3,47
157.32,16,Grocery,0,0,63,2,21
301.23,12,Clothing,0,0,49,1,59
29.38,19,Clothing,0,0,86,1,66
361.83,5,Travel,0,0,56,2,39
21.06,0,Food,0,0,42,4,27
144.2,23,Grocery,0,0,59,1,19
322.04,11,Clothing,0,0,84,5,68
53.51,15,Electronics,0,1,26,4,59
500.41,22,Grocery,0,0,95,2,34
66.89,2,Grocery,0,0,77,1,31
259.54,5,Grocery,0,0,97,2,52
304.54,8,Electronics,0,0,87,1,50
34.31,2,Travel,0,0,99,2,50
88.87,11,Travel,0,0,89,3,26
50.79,5,Grocery,0,0,82,0,54
94.18,15,Electronics,0,0,80,1,42
39.74,21,Food,0,0,34,3,27
111.79,12,Food,0,0,29,2,35
16.33,14,Grocery,0,0,40,4,67
71.61,5,Food,1,0,63,1,34
194.29,4,Electronics,0,0,46,1,21
320.63,13,Travel,0,0,69,2,63
118.41,1,Travel,0,0,77,4,59
177.14,17,Electronics,0,0,74,5,65
74.96,23,Food,0,0,97,2,32
332.74,18,Travel,0,0,60,0,67
209.63,21,Food,0,0,47,1,49
317.59,12,Electronics,0,0,92,2,28
82.36,3,Travel,0,1,59,0,33
101.94,16,Food,0,0,60,2,63
140.01,17,Travel,0,0,95,0,27
93.1,23,Clothing,0,0,26,1,56
211.81,17,Grocery,0,0,32,2,37
51.76,12,Electronics,0,0,30,1,67
231.71,22,Grocery,0,0,57,1,59
509.33,14,Grocery,0,0,53,3,56
186.78,16,Travel,0,0,28,1,24
372.32,10,Travel,0,0,51,3,47
165.36,17,Electronics,0,0,50,1,69
51.45,19,Food,0,0,39,1,27
6.14,1,Travel,0,0,49,0,65
252.41,6,Grocery,0,0,25,2,56
135.88,23,Clothing,0,0,61,0,28
14.42,23,Clothing,0,0,37,3,47
109.92,1,Grocery,0,0,43,0,42
57.05,2,Clothing,0,0,29,0,58
45.21,13,Grocery,0,0,40,2,40
15.96,16,Food,0,0,30,1,39
1001.1,0,Grocery,0,0,64,4,32
35.38,19,Electronics,0,0,89,1,18
32.92,2,Clothing,0,0,57,4,40
313.87,21,Electronics,0,0,75,1,68
32.26,2,Travel,0,0,50,2,41
594.52,23,Travel,0,0,68,0,54
197.64,13,Electronics,0,0,39,1,48
123.15,8,Travel,0,0,75,1,67
68.6,5,Electronics,0,0,74,1,54
26.81,8,Food,0,0,96,7,25
389.08,17,Clothing,0,0,81,4,67
145.8,15,Electronics,0,0,85,2,33
11.43,8,Clothing,0,0,29,4,44
182.24,13,Electronics,0,0,39,4,28
355.2,19,Food,0,0,35,2,40
18.86,7,Travel,0,0,80,4,59
19.9,16,Grocery,0,0,77,4,57
68.39,17,Electronics,0,0,74,7,30
24.83,18,Travel,0,1,47,0,57
200.11,12,Travel,0,0,27,3,40
65.65,11,Electronics,0,0,61,4,54
60.9,21,Grocery,0,0,76,6,39
144.82,3,Electronics,0,0,58,0,48
409.79,20,Clothing,0,0,93,4,62
2.2,2,Travel,0,0,56,0,44
1.24,17,Electronics,0,0,85,1,32
38.7,17,Grocery,1,0,60,2,60
113.95,19,Travel,0,0,41,4,34
192.38,2,Travel,0,0,39,2,23
19.73,16,Travel,0,0,27,3,67
14.42,15,Food,0,0,40,2,53
402.44,19,Travel,0,0,88,1,43
132.24,8,Travel,1,0,44,3,18
289.76,5,Grocery,0,0,63,2,48
297.43,14,Travel,0,0,98,1,62
31.75,16,Travel,0,0,58,1,18
832.98,22,Travel,0,0,28,4,65
0.02,17,Grocery,0,0,37,4,50
221.48,14,Clothing,0,0,95,4,64
58.69,11,Food,0,0,99,1,42
8.08,10,Clothing,0,0,67,0,50
154.95,9,Electronics,0,1,59,1,58
89.91,0,Electronics,0,0,56,1,39
29.0,17,Electronics,0,1,26,2,42
32.16,21,Clothing,0,0,59,1,40
50.5,17,Grocery,0,0,33,1,47
116.79,4,Grocery,1,0,36,1,47
192.46,5,Clothing,0,0,31,2,27
529.05,1,Food,0,0,55,1,22
28.5,7,Electronics,1,0,69,3,37
166.65,7,Travel,0,0,52,1,56
16.01,0,Travel,0,0,72,1,64
442.48,19,Clothing,0,0,89,1,51
26.06,16,Travel,0,1,71,3,65
63.03,0,Food,0,0,75,2,61
249.65,14,Grocery,0,0,41,4,47
28.9,18,Travel,1,0,82,2,43
331.7,0,Clothing,0,0,58,1,41
30.46,10,Electronics,0,0,72,0,33
38.45,1,Clothing,0,0,40,1,26
241.02,7,Travel,0,0,28,2,36
50.35,1,Food,0,0,38,1,62
339.59,5,Travel,0,0,84,3,29
431.88,13,Grocery,0,0,96,4,62
126.17,6,Clothing,0,0,59,0,34
334.66,16,Clothing,0,0,62,1,33
146.88,5,Travel,0,0,48,3,33
295.17,19,Electronics,0,0,97,2,48
53.62,22,Electronics,0,0,49,1,41
768.73,3,Food,0,0,30,2,20
52.22,20,Travel,0,1,27,0,47
43.57,12,Clothing,0,0,25,3,66
287.83,0,Travel,0,0,33,0,49
110.77,18,Food,0,0,34,2,19
433.32,21,Travel,0,0,38,1,32
196.21,17,Grocery,0,1,53,1,59
184.44,4,Travel,0,0,85,0,66
77.7,3,Food,0,0,97,0,58
128.0,22,Clothing,0,0,53,2,46
85.78,8,Travel,0,0,55,5,55
60.26,9,Travel,1,0,79,1,34
9.1,18,Clothing,0,0,41,1,29
47.58,1,Clothing,1,0,33,0,41
325.9,12,Electronics,0,0,85,3,28
126.54,5,Grocery,0,0,48,3,57
114.68,8,Electronics,0,0,43,2,46
0.79,0,Food,1,0,74,3,56
27.49,11,Clothing,0,0,85,3,57
0.76,22,Grocery,0,0,89,2,25
22.46,3,Travel,0,0,95,2,29
9.77,18,Grocery,0,0,25,2,36
68.39,15,Grocery,0,0,82,0,55
131.44,17,Clothing,0,0,62,1,44
86.09,3,Electronics,0,0,50,1,54
369.21,23,Electronics,0,0,90,2,46
3.85,2,Grocery,0,1,69,1,57
83.79,16,Food,0,0,56,3,48
110.62,12,Food,1,0,27,2,19
155.02,3,Grocery,0,0,70,4,31
293.79,7,Travel,0,0,67,0,39
109.24,18,Travel,0,0,88,2,49
258.31,17,Grocery,0,1,47,3,29
17.29,4,Travel,0,0,62,2,47
369.02,11,Food,0,0,67,2,44
217.42,10,Travel,0,0,88,3,69
150.67,19,Grocery,0,0,42,3,23
83.69,21,Electronics,0,0,81,3,57
132.2,3,Clothing,0,0,78,0,51
5.81,9,Grocery,0,0,31,2,69
77.4,8,Grocery,0,0,50,2,33
52.31,5,Travel,1,0,56,2,41
93.0,18,Clothing,0,0,95,2,40
197.36,1,Travel,1,0,50,2,64
25.59,15,Grocery,0,0,68,1,35
393.14,22,Electronics,0,0,51,2,55
12.1,12,Electronics,0,0,72,2,53
30.3,17,Travel,0,0,78,5,65
213.24,21,Grocery,0,0,96,1,46
203.82,15,Travel,0,0,53,2,63
319.14,22,Food,0,0,41,0,62
26.55,9,Travel,1,0,81,1,25
94.87,13,Electronics,0,0,80,0,59
95.67,16,Travel,0,1,59,2,24
577.57,9,Grocery,0,0,89,3,35
447.23,0,Food,0,0,82,0,22
191.19,22,Food,0,1,35,2,50
364.09,23,Food,0,0,42,1,19
92.67,19,Food,0,0,52,4,40
261.27,13,Travel,0,1,65,1,51
36.35,0,Electronics,0,0,81,0,20
23.89,22,Travel,0,0,85,2,26
368.2,12,Clothing,0,0,74,2,35
375.65,19,Food,1,0,86,3,28
16.03,16,Clothing,0,0,75,1,64
155.25,14,Clothing,0,0,77,3,59
12.42,9,Travel,0,0,68,1,64
371.9,2,Clothing,0,0,91,2,68
477.46,7,Travel,0,0,64,4,57
35.51,21,Electronics,0,1,35,1,20
343.2,7,Clothing,0,0,99,4,28
153.01,19,Food,1,0,81,0,48
193.21,19,Grocery,0,0,63,2,69
84.2,8,Clothing,0,0,85,1,19
20.2,3,Grocery,0,0,75,1,56
37.34,11,Grocery,0,0,27,3,23
165.23,21,Clothing,0,0,33,1,38
301.65,1,Clothing,0,0,67,1,29
144.01,15,Electronics,1,0,48,0,27
518.97,6,Food,1,0,89,3,56
66.75,13,Food,1,0,40,3,57
113.62,3,Electronics,0,0,77,3,53
187.13,23,Electronics,1,0,65,0,54
